%time,field.values0,field.values1,field.values2,field.values3,field.values4,field.values5,field.values6,field.values7,field.values8,field.values9,field.values10,field.values11,field.values12,field.values13,field.values14,field.values15,field.values16,field.values17,field.values18,field.values19
1508833874646274803,-0.0245879888535,-0.0139503628016,-0.00746232271194,-0.00840329378843,-1.34408473969e-05,-0.0215522199869,0.0163372941315,0.0144665278494,-0.00859876722097,-0.0204808861017,0.0163870491087,0.0145007707179,-0.00540804862976,0.00909693539143,0.00623135641217,0.00513660162687,0.000730514526367,0.0064754486084,0.00298441946507,0.00239288434386
1508833874663114699,-0.0209990292788,-0.0152391344309,-0.0133018493652,-0.0365019515157,0.000119030475616,-0.0223345905542,0.0161890722811,0.014349989593,-0.00868413224816,-0.0203864425421,0.0164699740708,0.0145705342293,-0.00583016872406,0.00390857458115,0.00644162669778,0.00540675222874,-0.00112327933311,0.00378529727459,0.00383047759533,0.00315404683352
1508833874679778077,-0.0181231796741,-0.0148366689682,-0.0206273794174,-0.0512309223413,0.000244826078415,-0.0226091593504,0.0161890946329,0.014354288578,-0.00871407613158,-0.0205649584532,0.016412910074,0.0145239233971,-0.00618998706341,-3.24696302414e-05,0.00618511065841,0.00525483116508,-0.00284400582314,0.00206707417965,0.00436453521252,0.00363248586655
1508833874696244745,-0.00794953107834,-0.0102368891239,-0.0385603308678,-0.0806620419025,0.000653594732285,-0.0227683037519,0.0162563957274,0.0144143179059,-0.0082944855094,-0.0240037292242,0.0164101533592,0.0145769268274,-0.00828689336777,-0.00491745769978,0.00609251484275,0.00524945184588,-0.00986811518669,-0.00476828217506,0.00562907010317,0.00482147932053
1508833874712980765,0.00617404282093,-0.00674632191658,-0.0583563446999,-0.102332890034,0.00201109051704,-0.0234961658716,0.0165587477386,0.0146913081408,-0.00923188775778,-0.0305110067129,0.0143800973892,0.0129049122334,-0.0160796642303,-0.0222551375628,0.00773238018155,0.00695662200451,-0.0276160240173,-0.0172484517097,0.00658489763737,0.00588321313262
1508833874729676610,0.0193584486842,-0.00513961911201,-0.0787958502769,-0.106601849198,0.00573164224625,-0.0242316871881,0.0166577063501,0.0147941894829,-0.0115827992558,-0.0361284464598,0.0124355405569,0.0112907253206,-0.022919729352,-0.0359809100628,0.0105143971741,0.0095963254571,-0.0536332726479,-0.0369385033846,0.00956208258867,0.008809376508
1508833874746291246,0.0389037355781,0.00134263932705,-0.0995165109634,-0.10639809072,0.0106954574585,-0.0267278403044,0.0164390914142,0.0146485418081,-0.0156918205321,-0.0415355116129,0.0104361064732,0.00962404534221,-0.0274277180433,-0.0429115146399,0.0116318799555,0.0106734186411,-0.0793326497078,-0.0510080456734,0.0119067579508,0.0110978670418
1508833874762867897,0.0550743490458,0.00834722816944,-0.117427051067,-0.10748244822,0.0159595012665,-0.028128400445,0.015962254256,0.0142621584237,-0.0177910514176,-0.045363292098,0.00930047407746,0.00868580117822,-0.0329426676035,-0.0511597692966,0.0115242414176,0.0107134655118,-0.102311313152,-0.0639365166426,0.0122937783599,0.0116969831288
1508833874779580817,0.0736698284745,0.0153348296881,-0.138447880745,-0.120258554816,0.0189308226109,-0.0283582657576,0.0160129256546,0.0143149495125,-0.0189702808857,-0.0485277026892,0.00801185518503,0.00760335847735,-0.0370472818613,-0.058304592967,0.0110684372485,0.010451041162,-0.12221005559,-0.0741675943136,0.0115914344788,0.0113083384931
1508833874796232588,0.0886498391628,0.0216442942619,-0.158614695072,-0.147981882095,0.0218616724014,-0.0284016877413,0.0148222781718,0.0132863633335,-0.0195796974003,-0.0511246174574,0.00801177695394,0.00764438137412,-0.0391601622105,-0.0615883916616,0.0110811777413,0.0105230696499,-0.140586733818,-0.0831151902676,0.011873036623,0.0117466412485
1508833874812899138,0.0988446101546,0.0228709876537,-0.171852111816,-0.191213995218,0.0251297652721,-0.0295565873384,0.0135688446462,0.0122201740742,-0.0207917578518,-0.0522196441889,0.0075735040009,0.0072799064219,-0.0404428392649,-0.0625765770674,0.0124564282596,0.0117341354489,-0.156032323837,-0.0900691002607,0.0121614336967,0.0121506564319
1508833874829620405,0.106931589544,0.0261210352182,-0.184469252825,-0.217533946037,0.0293168723583,-0.0301344841719,0.0121523849666,0.0110030025244,-0.0221629180014,-0.0526234358549,0.00803969055414,0.00769493728876,-0.0423822849989,-0.0641174763441,0.014048229903,0.0131450071931,-0.1714451015,-0.0949158966541,0.0133880376816,0.0133173055947
1508833874846214923,0.115177109838,0.0304466933012,-0.200291901827,-0.231772348285,0.0344120264053,-0.0297572165728,0.0113974548876,0.0103482306004,-0.0237477533519,-0.0531043857336,0.00797237083316,0.00764239951968,-0.0461309552193,-0.0656453818083,0.0161860473454,0.0150277912617,-0.189024925232,-0.100240051746,0.0129415541887,0.0130587108433
1508833874863101522,0.123294860125,0.0331170558929,-0.21760687232,-0.251129776239,0.0403214395046,-0.0294515639544,0.0107326097786,0.00976864621043,-0.0251002758741,-0.0532676428556,0.0087056607008,0.00828781723976,-0.0527097433805,-0.0671194046736,0.0192859657109,0.0177569016814,-0.206531792879,-0.106926232576,0.0123001784086,0.0126492418349
1508833874879582598,0.127107352018,0.0341289639473,-0.22701510787,-0.257494866848,0.043576285243,-0.0290738195181,0.0105042271316,0.00956815481186,-0.0258333981037,-0.0529775172472,0.0092111825943,0.0087254755199,-0.0569276511669,-0.0671619921923,0.0201370753348,0.0184984132648,-0.216036021709,-0.109295785427,0.0122774168849,0.0126874186099
1508833874896492982,0.134014844894,0.0351966321468,-0.24743360281,-0.272865414619,0.0503270924091,-0.026885047555,0.0100533775985,0.00915427133441,-0.0271422602236,-0.0521048158407,0.00991207361221,0.0093239992857,-0.066333912313,-0.0680357068777,0.0219460688531,0.0200928300619,-0.23348608613,-0.113611936569,0.0107887536287,0.0114947147667
1508833874912932762,0.142252445221,0.0355474799871,-0.258085340261,-0.282957732677,0.057657673955,-0.0255974382162,0.00931533426046,0.00849665701389,-0.0281339660287,-0.0508932322264,0.0098920352757,0.00928977876902,-0.0778032764792,-0.0671397596598,0.021980073303,0.0201035290956,-0.247686952353,-0.116674602032,0.0100413858891,0.0109079889953
1508833874929593676,0.152916803956,0.0365206897259,-0.268135935068,-0.281880915165,0.0648518204689,-0.0240880697966,0.00837070122361,0.00766458362341,-0.0285780876875,-0.0506719201803,0.0108006596565,0.0100791566074,-0.0904038026929,-0.0674418061972,0.0225391201675,0.0206072628498,-0.260059326887,-0.118441134691,0.00916770100594,0.0101857148111
1508833874946382792,0.169851109385,0.0409404486418,-0.284258812666,-0.270463645458,0.0709661245346,-0.0234533399343,0.00841446593404,0.00769678875804,-0.0299616008997,-0.04964633286,0.0145359225571,0.0133147165179,-0.103368811309,-0.0663502961397,0.0240512378514,0.0219021439552,-0.272490471601,-0.119504153728,0.0095569640398,0.0105503387749
1508833874963175830,0.191398486495,0.047590687871,-0.298613280058,-0.259196698666,0.0777777135372,-0.0227069109678,0.0097316019237,0.00882645323873,-0.0313205718994,-0.048995450139,0.0185375474393,0.0167910382152,-0.114609479904,-0.0648960322142,0.0243760384619,0.0221476256847,-0.28851416707,-0.120487958193,0.00941564887762,0.0104539059103
1508833874996225545,0.213101446629,0.054702565074,-0.306885153055,-0.268971651793,0.0881336033344,-0.0214836150408,0.0147742368281,0.0131804458797,-0.032677270472,-0.0474966019392,0.0238871313632,0.0214185006917,-0.129030168056,-0.0676233619452,0.0239858292043,0.0218731090426,-0.308849066496,-0.123862355947,0.0068770647049,0.00831254199147
1508833875012902906,0.23612318933,0.0658832937479,-0.314698815346,-0.272834181786,0.098309636116,-0.0205117613077,0.0212015546858,0.0187393091619,-0.0337845012546,-0.0466983765364,0.0272880233824,0.0243645124137,-0.140490353107,-0.0676614791155,0.0238957740366,0.0218017026782,-0.328426986933,-0.124240666628,0.00534106045961,0.00697929784656
1508833875029545708,0.252923637629,0.0747117549181,-0.325758934021,-0.274823009968,0.108897134662,-0.018084153533,0.0266751982272,0.023437526077,-0.0346124209464,-0.0469844192266,0.0297009758651,0.0264798887074,-0.150254532695,-0.0669585615396,0.0220628790557,0.0202080756426,-0.345802426338,-0.122532635927,0.00365912914276,0.00548506528139
1508833875046453907,0.267837136984,0.084800183773,-0.338823497295,-0.27770665288,0.117510437965,-0.0166381746531,0.0304196439683,0.0266621075571,-0.0359254591167,-0.0471189767122,0.0317751131952,0.0282931886613,-0.158032462001,-0.0648772567511,0.0214363597333,0.0196210592985,-0.358635932207,-0.118744283915,0.0046059191227,0.00623501464725
1508833875063010070,0.280977010727,0.0953784137964,-0.356164306402,-0.277321994305,0.125148802996,-0.0141921788454,0.033365752548,0.0291618816555,-0.037985842675,-0.0472501069307,0.0348938591778,0.0310137011111,-0.163474172354,-0.0633469372988,0.0213731788099,0.0195368751884,-0.369978606701,-0.112454980612,0.00588668882847,0.00721425935626
1508833875079701983,0.28802895546,0.101136222482,-0.362838894129,-0.280607938766,0.128929018974,-0.0127663761377,0.0345477350056,0.0301547683775,-0.0391112156212,-0.0474610477686,0.0365860201418,0.0324951447546,-0.165413662791,-0.0630958229303,0.0209410004318,0.0191597566009,-0.376517921686,-0.108160346746,0.00694480538368,0.00804311409593
1508833875096859787,0.304942846298,0.115331403911,-0.378189742565,-0.276734262705,0.137745380402,-0.00970168411732,0.0368787534535,0.0321012325585,-0.0410793982446,-0.0478805750608,0.0387101955712,0.0343593843281,-0.168578639627,-0.0626534372568,0.020920407027,0.0191358700395,-0.396084368229,-0.0948122739792,0.00913202762604,0.00965407863259
1508833875112906279,0.321825772524,0.128722637892,-0.392765671015,-0.279582023621,0.147444859147,-0.00744879245758,0.0398871414363,0.0346631072462,-0.0425325520337,-0.0482959598303,0.0398382432759,0.0353520102799,-0.17163220048,-0.0636675208807,0.0210651420057,0.0192856565118,-0.417497038841,-0.0844558179379,0.0127153173089,0.0124968923628
1508833875129576512,0.341468721628,0.145537868142,-0.408151090145,-0.284108698368,0.157684773207,-0.0039137005806,0.042108733207,0.0364972986281,-0.0439806245267,-0.0487718433142,0.0409002564847,0.036291193217,-0.175187245011,-0.0648278146982,0.0219571329653,0.0200862959027,-0.43756583333,-0.0779930353165,0.0157290250063,0.0149263702333
1508833875146609805,0.359014093876,0.160500496626,-0.426777720451,-0.27697083354,0.167389675975,-0.000626310706139,0.0439298190176,0.0379969738424,-0.0456663705409,-0.049359485507,0.0426546745002,0.037836689502,-0.178764730692,-0.0672467797995,0.0219970755279,0.0201724991202,-0.460066646338,-0.0702978074551,0.0212109833956,0.019420068711
1508833875162947142,0.380813717842,0.181036904454,-0.45149564743,-0.261786162853,0.175626188517,0.00158746540546,0.0453004203737,0.0391296856105,-0.0471239201725,-0.050619110465,0.0442676134408,0.039279166609,-0.182004392147,-0.0700790435076,0.0244423113763,0.0223648920655,-0.480169951916,-0.065239444375,0.0274064466357,0.0245749019086
